fold,retrieval_mode,topn,true_label,pred_label,count
0,centroid,1,Alaris,Alaris,20
0,centroid,1,Alaris,Alcatras,4
0,centroid,1,Alaris,Braga,0
0,centroid,1,Alaris,Castor,0
0,centroid,1,Alaris,Denom,0
0,centroid,1,Alaris,Gemini,0
0,centroid,1,Alaris,Hawk,1
0,centroid,1,Alaris,Ilias,0
0,centroid,1,Alaris,Mytikas,1
0,centroid,1,Alaris,Nivalis,0
0,centroid,1,Alaris,Ratikon,0
0,centroid,1,Alaris,Steel_Wheel,0
0,centroid,1,Alaris,Triton,1
0,centroid,1,Alaris,Trius,1
0,centroid,1,Alaris,Turbine,0
0,centroid,1,Alaris,Vega,0
0,centroid,1,Alaris,Velorum,0
0,centroid,1,Alaris,Xtreme,0
0,centroid,1,Alcatras,Alaris,2
0,centroid,1,Alcatras,Alcatras,20
0,centroid,1,Alcatras,Braga,1
0,centroid,1,Alcatras,Castor,3
0,centroid,1,Alcatras,Denom,0
0,centroid,1,Alcatras,Gemini,0
0,centroid,1,Alcatras,Hawk,0
0,centroid,1,Alcatras,Ilias,0
0,centroid,1,Alcatras,Mytikas,0
0,centroid,1,Alcatras,Nivalis,0
0,centroid,1,Alcatras,Ratikon,0
0,centroid,1,Alcatras,Steel_Wheel,0
0,centroid,1,Alcatras,Triton,0
0,centroid,1,Alcatras,Trius,0
0,centroid,1,Alcatras,Turbine,0
0,centroid,1,Alcatras,Vega,0
0,centroid,1,Alcatras,Velorum,0
0,centroid,1,Alcatras,Xtreme,0
0,centroid,1,Braga,Alaris,0
0,centroid,1,Braga,Alcatras,0
0,centroid,1,Braga,Braga,33
0,centroid,1,Braga,Castor,0
0,centroid,1,Braga,Denom,0
0,centroid,1,Braga,Gemini,0
0,centroid,1,Braga,Hawk,0
0,centroid,1,Braga,Ilias,0
0,centroid,1,Braga,Mytikas,1
0,centroid,1,Braga,Nivalis,0
0,centroid,1,Braga,Ratikon,0
0,centroid,1,Braga,Steel_Wheel,0
0,centroid,1,Braga,Triton,2
0,centroid,1,Braga,Trius,1
0,centroid,1,Braga,Turbine,0
0,centroid,1,Braga,Vega,1
