fold,retrieval_mode,topn,true_label,pred_label,count
0,centroid,1,Alaris,Alaris,20
0,centroid,1,Alaris,Alcatras,4
0,centroid,1,Alaris,Hawk,1
0,centroid,1,Alaris,Mytikas,1
0,centroid,1,Alaris,Triton,1
0,centroid,1,Alaris,Trius,1
0,centroid,1,Alcatras,Alaris,2
0,centroid,1,Alcatras,Alcatras,20
0,centroid,1,Alcatras,Braga,1
0,centroid,1,Alcatras,Castor,3
0,centroid,1,Braga,Braga,33
0,centroid,1,Braga,Mytikas,1
0,centroid,1,Braga,Triton,2
0,centroid,1,Braga,Trius,1
0,centroid,1,Braga,Vega,1
0,centroid,1,Castor,Alcatras,2
0,centroid,1,Castor,Castor,30
0,centroid,1,Denom,Denom,36
0,centroid,1,Denom,Ratikon,2
0,centroid,1,Gemini,Alaris,1
0,centroid,1,Gemini,Gemini,26
0,centroid,1,Gemini,Mytikas,1
0,centroid,1,Hawk,Alcatras,1
0,centroid,1,Hawk,Hawk,25
0,centroid,1,Ilias,Denom,1
0,centroid,1,Ilias,Ilias,27
0,centroid,1,Ilias,Velorum,1
0,centroid,1,Mytikas,Mytikas,22
0,centroid,1,Mytikas,Triton,6
0,centroid,1,Nivalis,Denom,2
0,centroid,1,Nivalis,Mytikas,1
0,centroid,1,Nivalis,Nivalis,20
0,centroid,1,Ratikon,Ilias,1
0,centroid,1,Ratikon,Ratikon,27
0,centroid,1,Steel_Wheel,Steel_Wheel,36
0,centroid,1,Triton,Braga,1
0,centroid,1,Triton,Ilias,1
0,centroid,1,Triton,Mytikas,1
0,centroid,1,Triton,Triton,49
0,centroid,1,Triton,Trius,2
0,centroid,1,Trius,Alcatras,1
0,centroid,1,Trius,Braga,2
0,centroid,1,Trius,Gemini,1
0,centroid,1,Trius,Ilias,1
0,centroid,1,Trius,Trius,36
0,centroid,1,Turbine,Alcatras,1
0,centroid,1,Turbine,Castor,1
0,centroid,1,Turbine,Mytikas,1
0,centroid,1,Turbine,Turbine,25
0,centroid,1,Vega,Vega,36
0,centroid,1,Velorum,Velorum,60
0,centroid,1,Xtreme,Xtreme,38
